est,L,D,"""",/,+,-,*,%,=,!,>,<,|,&,",",;,.,(,),[,],{,}, ,\n,\t,\r,Outros,
0,1,3,8,10,14,15,16,17,18,21,24,27,30,32,34,35,42,36,37,38,39,40,41,0,0,0,,42,
1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,42,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//ID*
3,42,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,42,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//num_int*
5,42,6,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,
6,42,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,42,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//num_dec*
8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,42,8,8,8,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//TEXTO
10,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,42,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,11,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//Comentario*
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,// Token '/'*
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,// Token '+'
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,// Token '-'
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,// Token '*'
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,// Token '%'
18,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,// Token '==' Comparação
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,// Token '=' Atribuição *
21,23,23,23,23,23,23,23,23,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//Token '!=' Comparação
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//Token '!'*
24,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//Token '>=' Comparação
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//Token '>' Comparação *
27,29,29,29,29,29,29,29,29,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//Token '<=' Comparação
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//Token '<' Comparação *
30,42,42,42,42,42,42,42,42,42,42,42,42,31,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//Token '||'
32,42,42,42,42,42,42,42,42,42,42,42,42,42,33,42,42,42,42,42,42,42,42,42,42,42,42,42,42,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//Token '&&'
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"//Token ','"
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//Token ';'
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//Token '('
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//Token ')'
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//Token '['
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//Token ']'
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//Token '{'
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//Token '}'
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//ERRO